Distribution,Size,AverageTime,AverageComparisons,AverageDepth,SuccessfulTrials
uniform,100,0.00014400000000023284,677.2,9.4,5
uniform,500,0.0008761600001889747,4811.6,13.6,5
uniform,1000,0.002461439999751747,10501.2,15.4,5
uniform,2500,0.00629411999907461,30721.0,19.2,5
uniform,5000,0.010339920000114943,65714.2,20.2,5
normal,100,0.0001223999999638181,684.8,9.0,5
normal,500,0.0007123600000340958,4598.0,12.8,5
normal,1000,0.001579420000052778,10499.8,15.2,5
normal,2500,0.004966059999424033,30173.4,17.8,5
normal,5000,0.009981300000072224,66785.2,20.8,5
exponential,100,0.00012962000037077814,671.2,9.4,5
exponential,500,0.0006706200008920859,4694.6,13.6,5
exponential,1000,0.00176285999987158,10711.6,16.2,5
exponential,2500,0.004497979998996015,30266.2,18.8,5
exponential,5000,0.011847680000937545,66366.0,21.0,5
sorted,100,0.00017537999883643351,605.2,7.4,5
sorted,500,0.0007040600008622278,4698.0,17.6,5
sorted,1000,0.001954920000571292,11999.4,25.6,5
sorted,2500,0.006093860001419671,51983.6,71.2,5
sorted,5000,0.012988680000125897,112526.0,58.8,5
