Distribution,Size,AverageTime,AverageComparisons
uniform,100,0.00010839,638.50000000
uniform,500,0.00067550,4852.80000000
uniform,1000,0.00197179,10844.60000000
uniform,2500,0.00464723,33079.70000000
uniform,5000,0.01000913,71223.90000000
normal,100,0.00009635,620.40000000
normal,500,0.00065712,4691.40000000
normal,1000,0.00170666,10826.40000000
normal,2500,0.00577403,33027.10000000
normal,5000,0.01104982,69515.40000000
exponential,100,0.00010372,626.20000000
exponential,500,0.00065390,4637.70000000
exponential,1000,0.00200969,10794.40000000
exponential,2500,0.00559796,32527.70000000
exponential,5000,0.00999002,69549.30000000
sorted,100,0.00051305,4256.60000000
sorted,500,0.01039186,66636.30000000
sorted,1000,0.02519931,181252.10000000
sorted,2500,0.07648674,566761.80000000
sorted,5000,0.16013448,1208865.50000000
