Distribution,Size,AverageTime,AverageComparisons
uniform,1000,0.0013359899999159097,10828.6
uniform,5000,0.008231880000130332,67077.8
uniform,10000,0.017259049999847776,145775.8
uniform,50000,0.1001827800000683,875524.8
uniform,100000,0.21358135000000403,1848026.9
normal,1000,0.0013213299998824368,10618.9
normal,5000,0.0088499800001955,66272.3
normal,10000,0.017399440000099277,147063.6
normal,50000,0.10001936000007845,861366.5
normal,100000,0.22790466000005835,1837112.4
exponential,1000,0.0013268300000163435,10549.3
exponential,5000,0.009630209999977523,66330.4
exponential,10000,0.018044519999966722,146428.9
exponential,50000,0.09849997000010262,862719.6
exponential,100000,0.21148550999996588,1857963.7
sorted,1000,0.0013290999999298948,11410.6
sorted,5000,0.012554259999978968,109328.9
sorted,10000,0.02743023000002722,284270.0
sorted,50000,0.19741387999993093,2172574.5
sorted,100000,0.5890245499998855,6109189.3
