Distribution,Size,Trials,SuccessfulTrials,PivotStrategy,AverageComparisons,AverageTime
uniform,100,15,15,median_of_three,662.2,0.00010585999992448099
uniform,500,15,15,median_of_three,4730.066666666667,0.0006006066666789896
uniform,1000,15,15,median_of_three,10563.866666666667,0.0014962466666778103
uniform,2500,15,15,median_of_three,30720.866666666665,0.004027866666729096
uniform,5000,15,15,median_of_three,66536.06666666667,0.010162980000010672
normal,100,15,15,median_of_three,667.8666666666667,9.468666664057916e-05
normal,500,15,15,median_of_three,4755.8,0.0006333999999393806
normal,1000,15,15,median_of_three,10583.333333333334,0.0014278266666224227
normal,2500,15,15,median_of_three,30411.533333333333,0.003943373333368072
normal,5000,15,15,median_of_three,67180.26666666666,0.008024093333460769
exponential,100,15,15,median_of_three,664.7333333333333,9.49866666815069e-05
exponential,500,15,15,median_of_three,4656.733333333334,0.0006877933333574522
exponential,1000,15,15,median_of_three,10653.8,0.001431873333300852
exponential,2500,15,15,median_of_three,30442.933333333334,0.004127753333341389
exponential,5000,15,15,median_of_three,66085.86666666667,0.007969913333363365
sorted_nearly,100,15,15,median_of_three,632.1333333333333,8.56933334034693e-05
sorted_nearly,500,15,15,median_of_three,5245.866666666667,0.0006319200000082977
sorted_nearly,1000,15,15,median_of_three,12461.533333333333,0.001522553333415999
sorted_nearly,2500,15,15,median_of_three,41762.26666666667,0.004630260000036894
sorted_nearly,5000,15,15,median_of_three,96114.93333333333,0.00983158666667805
sorted_reversed,100,15,15,median_of_three,818.0,0.00010326666661057971
sorted_reversed,500,15,15,median_of_three,6690.0,0.0008956000000277224
sorted_reversed,1000,15,15,median_of_three,15758.0,0.0019453199999588833
sorted_reversed,2500,15,15,median_of_three,47458.0,0.00559848666665251
sorted_reversed,5000,15,15,median_of_three,107246.0,0.012342593333293432
