Distribution,Size,AverageTime,AverageComparisons,AverageDepth,SuccessfulTrials
uniform,100,0.00011760000124922953,613.4,11.4,5
uniform,500,0.0006709799999953248,4970.2,18.2,5
uniform,1000,0.001546299999608891,11190.8,21.0,5
uniform,2500,0.004768999999214429,32138.4,26.2,5
uniform,5000,0.010137600000598468,70992.2,27.4,5
normal,100,0.00011695999928633683,632.8,12.2,5
normal,500,0.0006551799997396301,4642.6,17.2,5
normal,1000,0.0015132199994695838,10911.2,20.4,5
normal,2500,0.005166539999481756,31430.6,23.8,5
normal,5000,0.009818760000780458,69862.2,27.0,5
exponential,100,9.773999918252229e-05,612.2,12.4,5
exponential,500,0.0006545400006871205,4753.6,17.8,5
exponential,1000,0.0019224599993322045,10814.0,21.6,5
exponential,2500,0.004821680000168272,31937.0,24.8,5
exponential,5000,0.010317060001398204,71624.0,28.2,5
sorted,100,0.0003735199999937322,4243.0,85.2,5
sorted,500,0.008309819999703904,67531.6,269.8,5
sorted,1000,0.022365519999584648,183890.2,368.2,5
sorted,2500,0.06897083999938332,578519.8,455.2,5
sorted,5000,0.14353686000031302,1212831.4,486.0,5
