Distribution,Size,AverageTime,AverageComparisons,AverageDepth,SuccessfulTrials
uniform,100,0.0001405400013027247,608.8,11.2,5
uniform,500,0.000917479999770876,5101.0,20.2,5
uniform,1000,0.00244957999966573,10893.0,21.0,5
uniform,2500,0.006473339999502059,32132.0,24.4,5
uniform,5000,0.01173044000097434,70917.6,27.2,5
normal,100,0.00010185999926761724,646.0,12.0,5
normal,500,0.0006819400005042553,4665.0,18.6,5
normal,1000,0.00155328000037116,11006.4,21.6,5
normal,2500,0.005755119999957969,32746.4,26.0,5
normal,5000,0.011914300000353251,68176.2,26.0,5
exponential,100,0.00010423999992781319,678.0,12.8,5
exponential,500,0.0006923799999640323,4956.4,19.2,5
exponential,1000,0.0019590599993534854,10621.8,19.4,5
exponential,2500,0.005624519999400945,33243.6,26.6,5
exponential,5000,0.0106357200005732,69593.0,28.0,5
sorted,100,8.404000036534853e-05,486.6,7.2,5
sorted,500,0.0005796799996460322,3696.0,12.2,5
sorted,1000,0.001344059999973979,8582.2,14.6,5
sorted,2500,0.004173240000091028,25817.6,17.8,5
sorted,5000,0.009354359999997541,58602.0,21.6,5
