Distribution,Size,AverageTime,AverageComparisons
uniform,100,0.00014035,675.50000000
uniform,500,0.00088132,4640.10000000
uniform,1000,0.00214235,10444.40000000
uniform,2500,0.00596712,31034.60000000
uniform,5000,0.01130754,66523.00000000
normal,100,0.00010457,673.00000000
normal,500,0.00070493,4799.30000000
normal,1000,0.00209811,10447.80000000
normal,2500,0.00495266,30554.30000000
normal,5000,0.00975411,66945.60000000
exponential,100,0.00012490,678.80000000
exponential,500,0.00068038,4640.40000000
exponential,1000,0.00196449,10354.40000000
exponential,2500,0.00528995,30468.70000000
exponential,5000,0.01005641,66822.20000000
sorted,100,0.00010743,625.50000000
sorted,500,0.00073006,5156.30000000
sorted,1000,0.00292905,13136.30000000
sorted,2500,0.00640812,40841.60000000
sorted,5000,0.01159093,95791.80000000
