Distribution,Size,AverageTime,AverageComparisons
uniform,100,0.00013551,696.90000000
uniform,500,0.00087212,4839.80000000
uniform,1000,0.00249964,10891.70000000
uniform,2500,0.00582841,32955.50000000
uniform,5000,0.01165095,69542.80000000
normal,100,0.00011696,665.40000000
normal,500,0.00068269,4825.90000000
normal,1000,0.00156346,11217.60000000
normal,2500,0.00523597,31705.30000000
normal,5000,0.01011756,71105.30000000
exponential,100,0.00010806,639.50000000
exponential,500,0.00082500,4811.80000000
exponential,1000,0.00235172,11406.70000000
exponential,2500,0.00503557,32409.90000000
exponential,5000,0.01053963,72420.50000000
sorted,100,0.00009493,486.30000000
sorted,500,0.00064859,3681.10000000
sorted,1000,0.00177333,8586.90000000
sorted,2500,0.00500846,25790.60000000
sorted,5000,0.00911069,58325.60000000
